Timestamp,number_relationships,grade,gender,height,height_pref,height_diff,age,age_pref,age_diff,transport_access,ec_hours,ec_size,close_friends,confidence,interest,muppets
5/15/2026 8:34:59,0,11,Female,411,53,358,17,20,-3,Yes,4,50-150 people,3,2,1,"Miss Piggy, Kermit, Fozzy Bear, Constantine(?)"
5/15/2026 8:40:08,2,10,Male,66,64,2,16,16,0,Yes,14,<50 people,8,3,4,zero
5/15/2026 8:45:42,2,11,Other,61,73,-12,17,17,0,No,10,<50 people,3,2,4,12
5/15/2026 8:46:48,3,11,Female,61,62,-1,17,17,0,No,4,<50 people,10,2,4,no
5/15/2026 8:48:15,1,11,Female,62,61,1,17,17,0,Yes,4,<50 people,5,4,4,1
5/15/2026 8:52:06,6,11,Male,71,66,5,17,16,1,Yes,20,<50 people,6,3,4,maybe 2
5/15/2026 8:52:22,0,11,Male,72,74,-2,17,17,0,No,0.5,<50 people,16,3,3,3
5/15/2026 8:56:19,3,11,Male,71,64,7,16,16,0,No,35,<50 people,30,1,1,11
5/15/2026 8:57:40,0,11,Male,66,66,0,17,17,0,No,20,50-150 people,50,3,3,18
5/15/2026 8:58:02,1,11,Male,67,65,2,16,16,0,No,20,50-150 people,60,4,4,Kermit
5/15/2026 9:02:51,2,11,Male,72,67,5,17,17,0,No,16,50-150 people,12,3,4,9
5/15/2026 9:04:44,5,12,Male,72,64,8,18,18,0,Yes,0,<50 people,5,3,4,2
5/15/2026 9:06:04,2,12,Female,63,70,-7,18,18,0,Yes,2,50-150 people,4,3,4,5
5/15/2026 9:10:34,0,9,Male,68,58,10,16,15,1,Yes,6,<50 people,20,3,1,none yo 
5/15/2026 9:11:51,1,12,Male,71,65,6,35,35,0,Yes,0,<50 people,3,3,1,1
5/15/2026 9:13:08,0,9,Male,68,64,4,15,15,0,No,8,<50 people,10,3,4,1
5/15/2026 9:16:34,1,9,Female,67,72,-5,15,16,-1,No,12,<50 people,10,4,4,"kermit, ms piggy"
5/15/2026 9:17:44,1,9,Female,70,72,-2,15,15,0,No,14,<50 people,4,3,4,2
5/15/2026 9:19:40,1,9,Female,60,68,-8,15,15,0,No,12,50-150 people,4,3,1,0
5/15/2026 9:19:53,0,9,Male,71,64,7,15,15,0,No,10,<50 people,8,3,3,3
5/15/2026 9:21:08,0,9,Female,61,67,-6,15,15,0,No,12,<50 people,3,2,2,1
5/15/2026 9:24:16,0,9,Male,69,67,2,15,15,0,No,3,50-150 people,8,2,1,1
5/15/2026 9:24:41,1,9,Male,66,66,0,15,15,0,No,10,<50 people,15,3,1,5
5/15/2026 9:26:22,0,12,Male,77,58,19,19,9,10,Yes,0,<50 people,0,4,4,0
5/15/2026 9:27:13,0,12,Male,77,58,19,19,9,10,Yes,0,<50 people,0,4,4,0
5/15/2026 9:27:33,0,9,Male,70,64,6,15,15,0,No,8,<50 people,20,3,2,2
5/15/2026 9:28:42,0,9,Male,73,69,4,15,14,1,No,7,<50 people,4,3,1,0
5/15/2026 9:48:14,0,12,Male,72,69,3,18,18,0,Yes,2,<50 people,15,4,2,1
5/15/2026 10:41:22,2,12,Male,64,70,-6,19,21,-2,Yes,21,<50 people,7,3,4,0
5/15/2026 10:46:03,0,12,Male,72,69,3,18,18,0,Yes,4,50-150 people,6,2,3,2
5/15/2026 10:50:54,0,12,Male,70,64,6,18,18,0,Yes,6,<50 people,7,2,4,4
5/18/2026 8:23:54,0,9,Male,68,67,1,15,15,0,No,5,<50 people,5,2,4,0
5/18/2026 8:24:35,1,9,Male,66,70,-4,15,15,0,Yes,8,>150 people,8,3,2,3
5/18/2026 8:25:13,0,9,Male,64,61,3,14,14,0,No,0,<50 people,5,3,2,none
5/18/2026 8:26:51,0,9,Female,60,63,-3,14,14,0,No,1,50-150 people,7,3,1,0
5/18/2026 8:27:38,1,9,Male,69,67,2,14,14,0,No,6,<50 people,15,4,2,0
5/18/2026 8:29:33,1,9,Male,67,63,4,15,15,0,No,2,<50 people,3,2,2,4
5/18/2026 8:29:33,0,9,Female,73,73,0,15,16,-1,No,0,<50 people,0,3,1,0
5/18/2026 8:31:35,0,9,Female,66,70,-4,15,16,-1,Yes,0,<50 people,1,2,1,none 
5/18/2026 8:37:24,2,10,Male,71,66,5,16,16,0,Yes,16,<50 people,15,3,2,kermit the frog
5/18/2026 8:38:30,4,10,Female,70,73,-3,16,17,-1,Yes,7,<50 people,4,3,4,"kermit, ms piggy "
5/18/2026 8:39:06,2,10,Male,71,69,2,16,16,0,Yes,8,>150 people,5,3,3,"Pig Girl, Movie Guys, Nose Boy, The List Goes On, etc"
5/18/2026 8:40:16,0,10,Male,68,65,3,16,16,0,Yes,10,<50 people,10,3,3,0
5/18/2026 8:40:50,0,10,Female,68,72,-4,16,16,0,Yes,20,50-150 people,3,3,2,0
5/18/2026 8:43:15,0,10,Female,65,70,-5,15,15,0,No,7.5,<50 people,2,2,1,none :(
5/18/2026 8:43:20,0,10,Female,61,68,-7,15,15,0,No,5,<50 people,3,2,1,none?
5/18/2026 8:45:51,0,10,Female,62,69,-7,16,16,0,No,3,<50 people,8,1,3,8
5/18/2026 8:46:46,0,10,Male,70,70,0,16,16,0,No,10,<50 people,5,3,1,"kermit, swedish chef, miss piggy, sam eagle, "
5/18/2026 8:51:55,1,12,Female,67,68,-1,18,18,0,No,0,<50 people,9,4,4,6
5/18/2026 8:52:11,1,12,Female,68,71,-3,18,18,0,Yes,20,<50 people,10,3,4,2
5/18/2026 8:54:06,2,12,Female,65,72,-7,17,17,0,Yes,6,<50 people,7,2,4,miss piggy and kermit
5/18/2026 8:54:15,2,12,Female,59,68,-9,17,22,-5,Yes,10,50-150 people,6,4,2,3
5/18/2026 8:56:01,0,12,Female,60,68,-8,17,17,0,Yes,15,<50 people,6,3,1,0
5/18/2026 8:58:08,5,12,Female,67,71,-4,18,18,0,Yes,12,<50 people,10,2,2,2
5/18/2026 8:58:18,4,12,Female,65,71,-6,18,19,-1,Yes,12,<50 people,5,3,1,1
5/18/2026 9:01:17,0,12,Male,68,64,4,18,18,0,Yes,3,<50 people,4,3,1,0
5/18/2026 9:01:34,0,12,Female,62,65,-3,18,18,0,No,10.5,50-150 people,11,2,2,2
5/18/2026 9:03:03,2,12,Female,65,66,-1,17,17,0,Yes,20,<50 people,3,3,4,1
5/18/2026 9:03:05,1,10,Male,190,175,15,17,18,-1,Yes,20,<50 people,10,4,2,1
5/18/2026 9:04:23,0,12,Male,70,70,0,17,17,0,Yes,10,>150 people,6,3,1,0
5/18/2026 9:08:19,1,12,Female,63,100,-37,18,19,-1,Yes,8,50-150 people,30,3,3,4
5/18/2026 9:10:14,0,11,Female,64,71,-7,17,17,0,Yes,11,<50 people,5,4,2,1
5/18/2026 9:10:22,1,12,Male,67,67,0,18,18,0,Yes,6,50-150 people,6,4,1,0
5/18/2026 9:13:08,0,12,Female,64,70,-6,17,17,0,No,10,<50 people,7,3,1,3
5/18/2026 9:13:12,1,12,Female,62,70,-8,18,18,0,Yes,18,50-150 people,3,2,3,2
5/18/2026 9:15:28,2,12,Female,71,72,-1,18,18,0,Yes,7,<50 people,3,3,3,2
5/18/2026 9:18:32,0,12,Female,66,70,-4,17,18,-1,Yes,4,<50 people,4,3,3,"kermit, ms piggy, fozzie bear, uhhh the two old guys... also the sesame street characters ARE considered muppets though barney is not"
5/18/2026 9:18:56,0,12,Male,72,40,32,18,12,6,Yes,10,50-150 people,0,3,1,Kermit
5/18/2026 9:20:40,3,11,Female,63,69,-6,17,17,0,No,3,<50 people,3,4,3,Hermit?
5/18/2026 9:22:16,1,11,Male,67,63,4,17,17,0,No,16,>150 people,10,3,3,elphaba
5/18/2026 9:23:28,0,12,Male,66,69,-3,18,18,0,Yes,26,>150 people,12,2,1,maybe 3
5/18/2026 9:24:02,0,11,Female,64,68,-4,17,17,0,Yes,5,50-150 people,4,2,2,1
5/18/2026 9:25:18,3,12,Female,69,69,0,18,18,0,Yes,9,<50 people,9,2,2,5
5/18/2026 9:25:24,1,10,Male,68,66,2,15,15,0,No,3,<50 people,7,3,2,5
5/18/2026 9:25:28,0,10,Male,68,64,4,16,16,0,Yes,3,<50 people,8,3,3,3
5/18/2026 9:25:51,2,11,Female,60,60,0,17,16,1,No,20,50-150 people,6,4,4,none :(
5/18/2026 9:28:13,0,10,Male,68,66,2,16,16,0,No,21,50-150 people,5,4,2,0
5/18/2026 9:28:28,1,11,Female,54,62,-8,17,16,1,No,4,>150 people,3,3,4,elmo
5/18/2026 9:28:35,2,10,Male,70,67,3,15,17,-2,No,10,50-150 people,8,3,3,3
5/18/2026 9:28:57,2,12,Female,64,67,-3,18,18,0,Yes,10,50-150 people,6,3,3,5
5/18/2026 9:30:55,1,11,Female,64,68,-4,16,17,-1,Yes,16,<50 people,9,3,2,4
5/18/2026 9:31:28,0,10,Female,64,69,-5,16,16,0,No,7,50-150 people,4,3,2,2
5/18/2026 9:32:15,3,12,Female,67,72,-5,18,18,0,Yes,2,50-150 people,6,3,2,ms piggy
5/18/2026 9:32:34,2,12,Male,70,67,3,18,18,0,Yes,10,<50 people,8,4,3,like zero?  is grouchy a muppet
5/18/2026 9:33:20,0,10,Female,63,70,-7,16,16,0,No,13,<50 people,4,3,2,3
5/18/2026 9:35:01,4,12,Male,72,63,9,18,18,0,No,3,50-150 people,3,2,4,"Kermit, Ms Piggy"
5/18/2026 9:35:33,0,11,Female,64,72,-8,17,17,0,No,2,<50 people,6,2,2,"kermit, ms. piggy"
5/18/2026 9:36:02,1,12,Male,67,62,5,17,17,0,Yes,20,50-150 people,10,3,3,6
5/18/2026 9:36:02,0,11,Female,64,68,-4,17,17,0,No,8,<50 people,3,3,3,idk kermit
5/18/2026 9:36:48,1,10,Male,72,67,5,18,18,0,Yes,6,<50 people,5,3,4,3
5/18/2026 9:41:31,2,10,Male,68,67,1,16,15,1,No,10,<50 people,10,3,4,n/a
5/18/2026 9:41:31,0,10,Female,62,71,-9,15,15,0,Yes,5,50-150 people,4,2,2,none
5/18/2026 9:43:22,0,10,Male,68,66,2,16,16,0,Yes,35,<50 people,5,2,1,0
5/18/2026 9:43:53,1,11,Female,65,69,-4,15,16,-1,No,15,50-150 people,6,3,3,2
5/18/2026 9:46:02,3,12,Female,67,74,-7,18,18,0,Yes,1,<50 people,6,3,2,4
5/18/2026 9:51:26,2,12,Male,68,66,2,17,17,0,Yes,6,50-150 people,7,4,3,"kermit,miss piggy,gonzo, rizzzo,"
5/18/2026 14:28:33,1,12,Female,65,65,0,17,17,0,Yes,2,<50 people,6,3,1,0
5/18/2026 14:35:06,0,12,Female,68,73,-5,18,18,0,Yes,3,<50 people,9,4,1,lol
